no,product_name,rating,comment,link
1,Newchoice Womens Collared V Neck 3/4 Sleeve Shirts Business Casual Tops Loose Work Blouses,4,"This is a very cute top, it has nice material, it is soft and very comfy. I love the vneck and I agree with another person's review the collar makes it look a bit Matronly. It is a medium weight and a good amount of stretch. I ordered the size XXL (I'm a 37 in bust) and right now, that is my normal size, sometimes I can fit in a 1x. It is very accurate with the chest measurements with a tad extra material around the armpit/chest area. Not too much but I may be able to go one size smaller as I do not have a broad shoulders, I do have larger upper arms and it fits very comfortable in that area. Because of the stretch it does fit a bit roomy but it falls nicely so you don't notice it too much. I find I have to pull it down on and off as it rides up a tad in the back, but since I have a generous booty that may be the reason why. Either way I'm still very comfortable in it.",https://www.amazon.com/Newchoice-Business-Fitting-Elegant-Blouses/dp/B09KXJ9WRP/ref=sr_1_1_sspa?qid=1699189557&rnid=7141123011&s=fashion-womens-intl-ship&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl&th=1&psc=1
2,Newchoice Womens Collared V Neck 3/4 Sleeve Shirts Business Casual Tops Loose Work Blouses,5,This shirt is true to size and very comfortable to wear. It is one of my favorite shirts.,https://www.amazon.com/Newchoice-Business-Fitting-Elegant-Blouses/dp/B09KXJ9WRP/ref=sr_1_1_sspa?qid=1699189557&rnid=7141123011&s=fashion-womens-intl-ship&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl&th=1&psc=1
3,MIROL Women's Short Sleeve Tunic Tops 2023 Basic Loose T Shirts Solid Color Batwing Cap Sleeve Casual Tee,5,This is one of my favorite go-to shirts. It fits great and is very comfortable. Looks great with leggings or jeans.,https://www.amazon.com/MIROL-Womens-Sleeve-Shirts-Batwing/dp/B09M6GYVR5/ref=sr_1_3_sspa?qid=1699190763&refinements=p_72%3A2661621011&rnid=2661617011&s=fashion-womens-intl-ship&sr=1-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl&th=1&psc=1
4,MIROL Women's Short Sleeve Tunic Tops 2023 Basic Loose T Shirts Solid Color Batwing Cap Sleeve Casual Tee,4,Was what I expected and fit well.,https://www.amazon.com/MIROL-Womens-Sleeve-Shirts-Batwing/dp/B09M6GYVR5/ref=sr_1_3_sspa?qid=1699190763&refinements=p_72%3A2661621011&rnid=2661617011&s=fashion-womens-intl-ship&sr=1-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl&th=1&psc=2
5,Trendy Queen Womens Long Sleeve Shirts Fall Fashion 2023 Crop Tops Basic Layering Workout Slim Fitted Y2K Tops,1,This shirt has given me an awful underarm rash that lasted for weeks. I tried to wash the shirt and wear it again once the rash healed but I just got the rash came back full force again. i am in so much pain from this shirt and have to see my doctor over it,https://www.amazon.com/Trendy-Queen-Fashion-Layering-Workout/dp/B0BW92334B/ref=cm_cr_arp_d_product_top?ie=UTF8
6,Trendy Queen Womens Long Sleeve Shirts Fall Fashion 2023 Crop Tops Basic Layering Workout Slim Fitted Y2K Tops,2,"the material for this shirt is very nice however, when I received this shirt expecting it to be navy blue it is not what it looked like. this color is pine green and not the blue that is advertised. Kind of disappointed because i needed this for a game day and I am very disappointed.",https://www.amazon.com/Trendy-Queen-Fashion-Layering-Workout/dp/B0BW92334B/ref=cm_cr_arp_d_product_top?ie=UTF8
7,AUTOMET Womens Long Sleeve Round Neck Shirts Basic Tee,5,The quality of this tee is so good for the price. I am hesitant about buying long sleeve tees without the band because I have short arms and I hate shirts hanging off my hands. This tee fits perfectly. I am 5’2 and weigh about 130-135. Fits great!,https://www.amazon.com/AUTOMET-Womens-Sleeve-Round-Shirts/dp/B0CGV2WJJQ/ref=cm_cr_arp_d_product_top?ie=UTF8
8,AUTOMET Womens Long Sleeve Round Neck Shirts Basic Tee,4,"This top is great for some; just not for me. Was under the impression it was cotton, but alas, it was not. I knew it would be too warm for me. Still, I would recommend it to someone who does not mind a poly blend. Pretty color and nice fit",https://www.amazon.com/AUTOMET-Womens-Sleeve-Round-Shirts/dp/B0CGV2WJJQ/ref=cm_cr_arp_d_product_top?ie=UTF8
9,MANGOPOP Womens Short Sleeve Long Sleeve Square Neck T Shirts Tops Tees,5,"I love the square neck (if you need to wear a scarf as it’s getting cold) this neckline makes that really easy. It washes well, and is very soft. Sleeves are adjustable. I’m buying another one — great to dress up with a jacket or wear it to a casual evening.",https://www.amazon.com/MANGOPOP-Womens-Sleeve-Square-Shirts/dp/B08H4RFVQD/ref=sr_1_27?qid=1699190763&refinements=p_72%3A2661621011&rnid=2661617011&s=fashion-womens-intl-ship&sr=1-27&th=1
10,MANGOPOP Womens Short Sleeve Long Sleeve Square Neck T Shirts Tops Tees,4,I bought an XL. Fits perfect. The shirt looks cute. It’s lightweight feels super soft. The only thing the material is sheer for being white.,https://www.amazon.com/MANGOPOP-Womens-Sleeve-Square-Shirts/dp/B08H4RFVQD/ref=sr_1_27?qid=1699190763&refinements=p_72%3A2661621011&rnid=2661617011&s=fashion-womens-intl-ship&sr=1-27&th=1
